# nu	S
201.74 0.0228842310218
208.96 0.0229266986666
231.03 0.0229646222437
241.64 0.0230005607737
257.84 0.0230336880088
264.57 0.0230657191207
277.14 0.0230958066406
283.11 0.0231250157229
291.1 0.0231530915536
309.11 0.0231787792633
319.41 0.023203197219
333.62 0.0232259686659
341.4 0.0232478871872
348.4 0.0232690660629
360.36 0.0232890391023
363.71 0.0233086869544
370.53 0.023327689108
373.85 0.0233463846669
385.14 0.0233640740972
392.33 0.0233811510581
410.3 0.0233967876221
710.09 0.0234002663533
712.1 0.0234037092915
716.91 0.0234070680141
718.11 0.0234104060387
733.92 0.0234134826141
735.02 0.0234165417546
737.95 0.0234195549196
739.95 0.0234225370864
870.97 0.02342404052
873.62 0.023425523055
875.38 0.0234269918665
878.9 0.0234284336003
1131.74 0.0234288038519
1132.27 0.0234291730341
1132.91 0.0234295409292
1133.23 0.0234299081824
1477.99 0.0234299625221
1494.89 0.0234300119391
1500.9 0.0234300597141
1508.01 0.0234301056158
1564.85 0.0234301389345
1579.46 0.0234301696139
1605.22 0.0234301961342
1633.03 0.0234302187896
-22.12 nan
44.83 nan
81.07 nan
85.32 nan
95.33 nan
117.62 nan
131.32 nan
138.56 nan
145.89 nan
159.54 nan
162.31 nan
170.29 nan
185.75 nan
188.78 nan
199.93 nan
200.98 nan
209.87 nan
221.23 nan
236.94 nan
252.64 nan
264.9 nan
275.26 nan
296.24 nan
312.47 nan
316.1 nan
326.72 nan
330.46 nan
339.25 nan
349.12 nan
354.91 nan
361.35 nan
368.68 nan
374.77 nan
381.23 nan
392.03 nan
429.68 nan
708.08 nan
708.19 nan
716.84 nan
717.57 nan
733.52 nan
736.24 nan
739.5 nan
742.79 nan
873 nan
876.18 nan
876.53 nan
881.33 nan
1132.06 nan
1132.79 nan
1133.99 nan
1135.37 nan
1467.81 nan
1483.28 nan
1490.81 nan
1503.35 nan
1561.03 nan
1568.07 nan
1602.84 nan
1609.86 nan
46.28 nan
61.49 nan
93.31 nan
103.52 nan
109.73 nan
125.35 nan
128.04 nan
132.16 nan
148.21 nan
153.63 nan
160.8 nan
169.58 nan
177.81 nan
191.44 nan
204.11 nan
206.74 nan
220.99 nan
221.75 nan
234.06 nan
242.94 nan
261.82 nan
268.02 nan
282.86 nan
290.88 nan
312 nan
332.9 nan
335.15 nan
340.38 nan
343.32 nan
357.91 nan
370.16 nan
371.53 nan
377.05 nan
382.03 nan
400.92 nan
415.53 nan
709.24 nan
711.69 nan
714.11 nan
716.53 nan
734.57 nan
735.67 nan
740.83 nan
742.32 nan
869.38 nan
878.18 nan
879.78 nan
881.11 nan
1132.37 nan
1132.77 nan
1134.55 nan
1134.92 nan
1469.7 nan
1476.25 nan
1492.01 nan
1504.57 nan
1557.28 nan
1563.36 nan
1593.2 nan
1643.65 nan
54.39 nan
56.17 nan
70.71 nan
96.87 nan
99.35 nan
111.77 nan
126.7 nan
137.9 nan
146.98 nan
166.42 nan
166.84 nan
178.31 nan
185.98 nan
193.55 nan
196.82 nan
203.47 nan
215.88 nan
234.01 nan
240.56 nan
246.02 nan
254.55 nan
269.38 nan
278.81 nan
291.72 nan
317.84 nan
321.57 nan
328.02 nan
335.96 nan
353.92 nan
356.9 nan
366.08 nan
373.59 nan
375.9 nan
381.82 nan
391.25 nan
433.11 nan
706.76 nan
707.96 nan
717.39 nan
718.15 nan
734.08 nan
734.92 nan
740.93 nan
742.63 nan
873.38 nan
874.49 nan
883.28 nan
891.54 nan
1131.99 nan
1133 nan
1134.29 nan
1135.15 nan
1465.25 nan
1469.11 nan
1494.37 nan
1494.79 nan
1539.84 nan
1563.29 nan
1579.35 nan
1627.48 nan
69.02 nan
83.57 nan
95.35 nan
104.61 nan
119.18 nan
125.56 nan
131.58 nan
140.32 nan
148.15 nan
150.74 nan
156.23 nan
171.31 nan
184.99 nan
188.96 nan
195.34 nan
200.22 nan
214.75 nan
218.5 nan
236.28 nan
243.91 nan
268.59 nan
283.51 nan
294.28 nan
299.79 nan
311.56 nan
321.98 nan
337.29 nan
343.94 nan
349.92 nan
353.02 nan
366.43 nan
370.39 nan
373.51 nan
382.11 nan
390.39 nan
429.47 nan
709.3 nan
710.17 nan
717.12 nan
717.43 nan
733.12 nan
734.7 nan
737.62 nan
740.45 nan
870.05 nan
873.41 nan
876.19 nan
880.12 nan
1131.36 nan
1131.52 nan
1133.24 nan
1134.05 nan
1468.35 nan
1487.47 nan
1502.7 nan
1524.58 nan
1554.09 nan
1568.48 nan
1598.76 nan
1633.55 nan
60.88 nan
80.71 nan
88.4 nan
104.24 nan
117 nan
119.11 nan
130.24 nan
142.19 nan
149.51 nan
153.23 nan
170.31 nan
177.86 nan
180.9 nan
193.01 nan
202.16 nan
210.44 nan
218.96 nan
226.12 nan
237.16 nan
255.85 nan
259.77 nan
269.05 nan
283.87 nan
296.94 nan
307.81 nan
322.53 nan
337.69 nan
342.6 nan
350.66 nan
359.74 nan
365.44 nan
368.38 nan
383.06 nan
384.7 nan
392.9 nan
399.01 nan
710.11 nan
713.33 nan
715.06 nan
718.03 nan
732.95 nan
734.38 nan
738.5 nan
740.5 nan
869.71 nan
877.36 nan
877.84 nan
878.49 nan
1131.23 nan
1131.88 nan
1133.4 nan
1133.81 nan
1475.28 nan
1487.07 nan
1496.1 nan
1519.3 nan
1555.14 nan
1568.94 nan
1593.12 nan
1639.08 nan
44.61 nan
69.22 nan
75.78 nan
106.59 nan
117.69 nan
123.64 nan
135.33 nan
136.56 nan
155.11 nan
158.26 nan
170.46 nan
179.36 nan
191.04 nan
201.29 nan
202.78 nan
205.77 nan
217.05 nan
219.11 nan
230.22 nan
250.11 nan
270.54 nan
281.78 nan
285.36 nan
296.92 nan
305.85 nan
324.22 nan
331.16 nan
334.12 nan
348.76 nan
359.42 nan
362.03 nan
369.05 nan
375.08 nan
385.24 nan
389.16 nan
415.96 nan
708.42 nan
710.38 nan
717.98 nan
718.72 nan
733.39 nan
733.73 nan
738.85 nan
740.43 nan
873.54 nan
873.89 nan
879.36 nan
881.19 nan
1131.19 nan
1131.98 nan
1133.14 nan
1133.75 nan
1471.62 nan
1487.06 nan
1510.72 nan
1522.68 nan
1548.13 nan
1560.92 nan
1587.98 nan
1623.9 nan
81.25 nan
85.74 nan
97.22 nan
104.01 nan
127.03 nan
131.89 nan
135.82 nan
